HAT-P-5,1.0,306.01,b,0.040730,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-50,1.0,497.00,b,0.045300,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-51,1.0,470.00,b,0.050690,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-52,1.0,385.00,b,0.036940,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-53,1.0,719.00,b,0.031590,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-54,1.0,144.25,b,0.041170,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-55,1.0,480.00,b,0.046040,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-56,1.0,323.50,b,0.042300,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-6,1.0,277.50,b,0.052390,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-65,1.0,841.00,b,0.039510,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-66,1.0,927.00,b,0.043630,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-69,1.0,343.90,b,0.065550,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-70,1.0,329.00,b,0.047390,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-9,1.0,480.00,b,0.052870,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-1,1.0,303.00,b,0.044400,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-10,1.0,496.00,b,0.044910,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-11,1.0,967.34,b,0.050700,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-12,1.0,512.41,b,0.044100,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-13,1.0,476.00,b,0.040570,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-14,1.0,513.00,b,0.038150,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-15,1.0,689.00,b,0.027120,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-16,1.0,774.00,b,0.037440,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-17,1.0,339.00,b,0.130800,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-18,1.0,645.00,b,0.017400,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-2,1.0,360.00,b,0.023000,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-22,1.0,207.90,b,0.050250,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-23,1.0,747.00,b,0.033970,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-24,1.0,510.00,b,0.023800,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-25,1.0,466.00,b,0.051630,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-26,1.0,907.00,b,0.047350,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-27,1.0,840.00,b,0.061100,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-28,1.0,521.00,b,0.041310,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-29,1.0,351.00,b,0.054750,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-3,1.0,453.00,b,0.048500,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-31,1.0,872.00,b,0.047800,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-32,1.0,839.00,b,0.040240,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-33,1.0,255.00,b,0.037270,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-34,1.0,532.00,b,0.031660,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-35,1.0,557.00,b,0.031990,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-36,1.0,878.65,b,0.052300,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-39,1.0,773.00,b,0.060070,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-4,1.0,420.00,b,0.036200,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-40,1.0,1431.00,b,0.049970,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-41,1.0,800.00,b,0.058300,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-42,1.0,942.00,b,0.036890,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-43,1.0,341.00,b,0.049440,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-44,1.0,463.00,b,0.036490,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-45,1.0,818.00,b,0.055110,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-46,1.0,448.00,b,0.053670,,,,,,,,,,,,,,,,,,,,,,,,,,
